TaxonName,RBL,IUCN,Percent_vert,Percent_nonvert,Diet,Diet_diversity,Body_size,Diet_breadth,Museum_Pub,N,Notes,Invert,Scav,Fruit,Nect,Seed,Plant,Vert,Diet_old,Diet_vert
Mustela_nudipes,0.7308952,LC,100,0,hyper,1,500,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Genetta_tigrina,0.731,LC,90,10,hyper,2,2225,,Friscia2007,1,,1,0,0,0,0,0,1,Hyper,hyper
Vulpes_ferrilata,0.738,LC,100,0,hyper,1,5000,,Friscia2007,3,Used Friscia 2007 b/c biggest sample size,0,0,0,0,0,0,1,Hyper,hyper
Genetta_angolensis,0.739,LC,90,10,hyper,2,1649.99,,Friscia2007,7,,1,0,0,0,0,0,1,Hyper,hyper
Genetta_servalina,0.739,LC,90,10,hyper,2,1054.99,,Friscia2007,8,,1,0,0,0,0,0,1,Hyper,hyper
Cuon_alpinus,0.74,EN,100,0,hyper,2,14173.33,,VV1989,2,,0,1,0,0,0,0,1,Hyper,hyper
Genetta_genetta,0.744,LC,90,10,hyper,2,1800,,Friscia2007,23,,1,0,0,0,0,0,1,Hyper,hyper
Mungos_mungo,0.745,LC,20,80,hypo,2,1925,,Friscia2007,8,,1,0,0,0,0,0,1,Invert,hypo
Herpestes_sanguineus,0.75,LC,20,80,hypo,3,NA,,Friscia2007,14,genus Galerella in EltonTraits,1,0,0,0,0,1,1,Invert,hypo
Genetta_maculata,0.752,LC,90,10,hyper,2,2225,,Friscia2007,14,,1,0,0,0,0,0,1,Hyper,hyper
Mustela_nigripes,0.7612878,EN,100,0,hyper,1,850,,Ely2019,8,Used Ely 2019 b/c biggest sample size,0,0,0,0,0,0,1,Hyper,hyper
Prionodon_linsang,0.764,LC,70,30,meso,2,700,,Friscia2007,1,,1,0,0,0,0,0,1,Meso,hyper
Prionodon_pardicolor,0.7726614,LC,70,30,meso,2,512,,Slater&Friscia2019,U,,1,0,0,0,0,0,1,Meso,hyper
Helogale_parvula,0.784,LC,20,80,hypo,3,300,,Friscia2007,6,,1,0,1,0,0,0,1,Invert,hypo
Gulo_gulo,0.785187,LC,80,20,hyper,3,17012.56,,Ely2019,15,Used Ely 2019 b/c biggest sample size,0,1,1,0,0,0,1,Meso,hyper
Mustela_putorius,0.787276,LC,90,10,hyper,2,915.37,,Ely2019,15,Used Ely 2019 b/c biggest sample size,1,0,0,0,0,0,1,Hyper,hyper
Hyaena_hyaena,0.79,NT,80,20,hyper,4,41705.11,,VV1989,2,,1,1,1,0,0,0,1,Meso,hyper
Helogale_hirtula,0.827,LC,20,80,hypo,3,289,,Friscia2007,12,,1,0,1,0,0,0,1,Invert,hypo
Cryptoprocta_ferox,0.828,VU,90,10,hyper,2,9500,,Friscia2007_Taylor2016,17,"Weighted mean of Friscia et al., 2007 (RBL = 0.807, N = 11) and Taylor, 2016 (RBL = 0.867, N = 6)",1,0,0,0,0,0,1,Hyper,hyper
Parahyaena_brunnea,0.84,NT,80,20,hyper,4,42977.93,,VV1989,2,"Used VV 1989 b/c bigger sample size; updated taxonomy Hyaena brunnea, but IUCN range map under P. brunnea",1,1,1,0,0,0,1,Meso,hyper
Crocuta_crocuta,0.92,LC,100,0,hyper,1,66492.06,,VV1989,2,,0,0,0,0,0,0,1,Hyper,hyper
Herpailurus_yagouaroundi,1,LC,80,20,hyper,3,6875,,VV1989,2,,1,0,1,0,0,0,1,Meso,hyper
Leopardus_wiedii,1,NT,80,20,hyper,3,3249.97,,Slater&Friscia2019,U,,0,0,2,0,0,0,1,Meso,hyper
Prionailurus_viverrinus,1,VU,80,20,hyper,2,9140.33,,VV1989,2,,1,0,0,0,0,0,1,Meso,hyper
Felis_lybica,1,LC,90,10,hyper,0,NA,,NMK,5,self measured in NMK,,,,,,,,Hyper,hyper
Felis_silvestris,1,LC,90,10,hyper,2,5099.99,,Slater&Friscia2019,1,,1,0,0,0,0,0,1,Hyper,hyper
Acinonyx_jubatus,1,VU,100,0,hyper,1,46700,,VV1989,2,N,0,0,0,0,0,0,1,Hyper,hyper
Caracal_aurata,1,VU,100,0,hyper,1,NA,,VV1989,2,Profelis aurata in EltonTraits,0,0,0,0,0,0,1,Hyper,hyper
Caracal_caracal,1,LC,100,0,hyper,1,13749.91,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Catopuma_badia,1,EN,100,0,hyper,1,2500,,Slater&Friscia2019,U,,0,1,0,0,0,0,0,Hyper,hyper
Catopuma_temminckii,1,NT,100,0,hyper,1,11500,,VV1989,2,,0,0,0,0,0,0,1,Hyper,hyper
Felis_chaus,1,LC,100,0,hyper,1,7392.98,,Slater&Friscia2019,1,,0,0,0,0,0,0,1,Hyper,hyper
Felis_margarita,1,LC,100,0,hyper,1,2524.99,,Slater&Friscia2019,1,,0,0,0,0,0,0,1,Hyper,hyper
Felis_nigripes,1,VU,100,0,hyper,1,1299.99,,Slater&Friscia2019,1,,0,0,0,0,0,0,1,Hyper,hyper
Leopardus_colocolo,1,NT,100,0,hyper,1,5157.94,,https://eol.org/media/28236677,1,measured from USNM specimen on eol.org,0,0,0,0,0,0,1,Hyper,hyper
